홀이름,파,그린중앙,헤저드1 앞,헤저드2 앞,설명,설명(중문)
1번홀,PAR4,"33.816517, 120.396217",,,,
2번홀,PAR5,"33.811733, 120.392850",,,,
3번홀,PAR4,"33.808333, 120.390250",,,,
4번홀,PAR3,"33.808617, 120.391617",,,,
5번홀,PAR5,"33.813117, 120.395800",,,,
6번홀,PAR4,"33.816183, 120.399000",,,,
7번홀,PAR3,"33.818183, 120.398400",,,,
8번홀,PAR4,"33.818833, 120.394150",,,,
9번홀,PAR4,"33.815883, 120.392717",,,,
10번홀,PAR5,"33.810217, 120.388017",,,,
11번홀,PAR4,"33.807350, 120.385167",,,,
12번홀,PAR4,"33.804633, 120.383800",,,,
13번홀,PAR3,"33.804403, 120.385391",,,,임시좌표
14번홀,PAR5,"33.807533, 120.389617",,,,
15번홀,PAR4,"33.805250, 120.385567",,,,
16번홀,PAR4,"33.808533, 120.387617",,,,
17번홀,PAR3,"33.810183, 120.389200",,,,
18번홀,PAR4,"33.813267, 120.391600",,,,
